# Simulated electronic absorption spectrum for
# Energy unit cm^(-1)
# Gaussian line shape
# rms linewidth  0.1500 eV
# Scaling factor        1.000
# Decadic molar absorption coefficient in l/(mol*cm)
 0.00000000000000E+00   0.19899949192622E-03
 0.85000000000000E+02   0.29848799950731E-03
 0.17000000000000E+03   0.44551081125140E-03
 0.25500000000000E+03   0.66167702694540E-03
 0.34000000000000E+03   0.97789061438413E-03
 0.42500000000000E+03   0.14381059760937E-02
 0.51000000000000E+03   0.21044949011717E-02
 0.59500000000000E+03   0.30645112701886E-02
 0.68000000000000E+03   0.44404901658187E-02
 0.76500000000000E+03   0.64026083307362E-02
 0.85000000000000E+03   0.91862715920584E-02
 0.93500000000000E+03   0.13115291309553E-01
 0.10200000000000E+04   0.18632576299872E-01
 0.11050000000000E+04   0.26340509771103E-01
 0.11900000000000E+04   0.37053713372747E-01
 0.12750000000000E+04   0.51867532730732E-01
 0.13600000000000E+04   0.72246319487806E-01
 0.14450000000000E+04   0.10013643988807E+00
 0.15300000000000E+04   0.13810991109145E+00
 0.16150000000000E+04   0.18954564938494E+00
 0.17000000000000E+04   0.25885649676775E+00
 0.17850000000000E+04   0.35177145087458E+00
 0.18700000000000E+04   0.47568382141074E+00
 0.19550000000000E+04   0.64007732170256E+00
 0.20400000000000E+04   0.85704330538978E+00
 0.21250000000000E+04   0.11419033833740E+01
 0.22100000000000E+04   0.15139523896727E+01
 0.22950000000000E+04   0.19973369678407E+01
 0.23800000000000E+04   0.26220847598647E+01
 0.24650000000000E+04   0.34252981135756E+01
 0.25500000000000E+04   0.44525241826679E+01
 0.26350000000000E+04   0.57593100656337E+01
 0.27200000000000E+04   0.74129470068072E+01
 0.28050000000000E+04   0.94944014679262E+01
 0.28900000000000E+04   0.12100422905237E+02
 0.29750000000000E+04   0.15345808236761E+02
 0.30600000000000E+04   0.19365791208606E+02
 0.31450000000000E+04   0.24318511213140E+02
 0.32300000000000E+04   0.30387500737425E+02
 0.33150000000000E+04   0.37784113828732E+02
 0.34000000000000E+04   0.46749800215400E+02
 0.34850000000000E+04   0.57558111648139E+02
 0.35700000000000E+04   0.70516309440883E+02
 0.36550000000000E+04   0.85966426077698E+02
 0.37400000000000E+04   0.10428562025803E+03
 0.38250000000000E+04   0.12588565514938E+03
 0.39100000000000E+04   0.15121132525805E+03
 0.39950000000000E+04   0.18073765958807E+03
 0.40800000000000E+04   0.21496573894977E+03
 0.41650000000000E+04   0.25441698456782E+03
 0.42500000000000E+04   0.29962580444009E+03
 0.43350000000000E+04   0.35113052377346E+03
 0.44200000000000E+04   0.40946257637706E+03
 0.45050000000000E+04   0.47513399467847E+03
 0.45900000000000E+04   0.54862330597303E+03
 0.46750000000000E+04   0.63036001986943E+03
 0.47600000000000E+04   0.72070797421405E+03
 0.48450000000000E+04   0.81994789095451E+03
 0.49300000000000E+04   0.92825957573468E+03
 0.50150000000000E+04   0.10457042713247E+04
 0.51000000000000E+04   0.11722077407989E+04
 0.51850000000000E+04   0.13075447071151E+04
 0.52700000000000E+04   0.14513253070074E+04
 0.53550000000000E+04   0.16029842249156E+04
 0.54400000000000E+04   0.17617731537720E+04
 0.55250000000000E+04   0.19267571815959E+04
 0.56100000000000E+04   0.20968156249765E+04
